1924-10-30,1343-04-01
1924-11-28,1343-05-01
1924-12-28,1343-06-01
1925-01-26,1343-07-01
1925-02-25,1343-08-01
1925-03-26,1343-09-01
1925-04-25,1343-10-01
1925-05-24,1343-11-01
1925-06-23,1343-12-01
1925-07-22,1344-01-01
1925-08-21,1344-02-01
1925-09-19,1344-03-01
1925-10-19,1344-04-01
1925-11-17,1344-05-01
1925-12-17,1344-06-01
1926-01-15,1344-07-01
1926-02-14,1344-08-01
1926-03-15,1344-09-01
1926-04-13,1344-10-01
1926-05-12,1344-11-01
1926-06-11,1344-12-01
1926-07-11,1345-01-01
1926-08-10,1345-02-01
1926-09-09,1345-03-01
1926-10-08,1345-04-01
1926-11-07,1345-05-01
1926-12-07,1345-06-01
1927-01-05,1345-07-01
1927-02-04,1345-08-01
1927-03-05,1345-09-01
1927-04-03,1345-10-01
1927-05-03,1345-11-01
1927-06-01,1345-12-01
1927-07-01,1346-01-01
1927-07-30,1346-02-01
1927-08-29,1346-03-01
1927-09-27,1346-04-01
1927-10-27,1346-05-01
1927-11-26,1346-06-01
1927-12-26,1346-07-01
1928-01-24,1346-08-01
1928-02-23,1346-09-01
1928-03-23,1346-10-01
1928-04-22,1346-11-01
1928-05-21,1346-12-01
1928-06-19,1347-01-01
1928-07-18,1347-02-01
1928-08-17,1347-03-01
1928-09-15,1347-04-01
1928-10-15,1347-05-01
1928-11-14,1347-06-01
1928-12-14,1347-07-01
1929-01-12,1347-08-01
1929-02-11,1347-09-01
1929-03-13,1347-10-01
1929-04-11,1347-11-01
1929-05-11,1347-12-01
1929-06-09,1348-01-01
1929-07-08,1348-02-01
1929-08-06,1348-03-01
1929-09-05,1348-04-01
1929-10-04,1348-05-01
1929-11-03,1348-06-01
1929-12-03,1348-07-01
1930-01-01,1348-08-01
1930-01-31,1348-09-01
1930-03-02,1348-10-01
1930-03-31,1348-11-01
1930-04-30,1348-12-01
1930-05-29,1349-01-01
1930-06-28,1349-02-01
1930-07-27,1349-03-01
1930-08-25,1349-04-01
1930-09-24,1349-05-01
1930-10-24,1349-06-01
1930-11-22,1349-07-01
1930-12-22,1349-08-01
1931-01-20,1349-09-01
1931-02-19,1349-10-01
1931-03-21,1349-11-01
1931-04-19,1349-12-01
1931-05-19,1350-01-01
1931-06-17,1350-02-01
1931-07-17,1350-03-01
1931-08-15,1350-04-01
1931-09-14,1350-05-01
1931-10-13,1350-06-01
1931-11-12,1350-07-01
1931-12-11,1350-08-01
1932-01-09,1350-09-01
1932-02-08,1350-10-01
1932-03-09,1350-11-01
1932-04-07,1350-12-01
1932-05-07,1351-01-01
1932-06-06,1351-02-01
1932-07-06,1351-03-01
1932-08-04,1351-04-01
1932-09-02,1351-05-01
1932-10-02,1351-06-01
1932-10-31,1351-07-01
1932-11-30,1351-08-01
1932-12-29,1351-09-01
1933-01-27,1351-10-01
1933-02-26,1351-11-01
1933-03-27,1351-12-01
1933-04-26,1352-01-01
1933-05-26,1352-02-01
1933-06-24,1352-03-01
1933-07-24,1352-04-01
1933-08-23,1352-05-01
1933-09-22,1352-06-01
1933-10-21,1352-07-01
1933-11-19,1352-08-01
1933-12-19,1352-09-01
1934-01-17,1352-10-01
1934-02-15,1352-11-01
1934-03-17,1352-12-01
1934-04-15,1353-01-01
1934-05-15,1353-02-01
1934-06-13,1353-03-01
1934-07-13,1353-04-01
1934-08-12,1353-05-01
1934-09-11,1353-06-01
1934-10-11,1353-07-01
1934-11-09,1353-08-01
1934-12-08,1353-09-01
1935-01-06,1353-10-01
1935-02-05,1353-11-01
1935-03-06,1353-12-01
1935-04-05,1354-01-01
1935-05-04,1354-02-01
1935-06-03,1354-03-01
1935-07-02,1354-04-01
1935-08-01,1354-05-01
1935-08-31,1354-06-01
1935-09-30,1354-07-01
1935-10-29,1354-08-01
1935-11-27,1354-09-01
1935-12-27,1354-10-01
1936-01-26,1354-11-01
1936-02-24,1354-12-01
1936-03-24,1355-01-01
1936-04-23,1355-02-01
1936-05-22,1355-03-01
1936-06-20,1355-04-01
1936-07-20,1355-05-01
1936-08-19,1355-06-01
1936-09-18,1355-07-01
1936-10-18,1355-08-01
1936-11-16,1355-09-01
1936-12-15,1355-10-01
1937-01-14,1355-11-01
1937-02-13,1355-12-01
1937-03-14,1356-01-01
1937-04-12,1356-02-01
1937-05-12,1356-03-01
1937-06-10,1356-04-01
1937-07-10,1356-05-01
1937-08-08,1356-06-01
1937-09-07,1356-07-01
1937-10-07,1356-08-01
1937-11-05,1356-09-01
1937-12-04,1356-10-01
1938-01-03,1356-11-01
1938-02-02,1356-12-01
1938-03-04,1357-01-01
1938-04-02,1357-02-01
1938-05-01,1357-03-01
1938-05-31,1357-04-01
1938-06-29,1357-05-01
1938-07-29,1357-06-01
1938-08-27,1357-07-01
1938-09-26,1357-08-01
1938-10-25,1357-09-01
1938-11-23,1357-10-01
1938-12-23,1357-11-01
1939-01-22,1357-12-01
1939-02-21,1358-01-01
1939-03-22,1358-02-01
1939-04-21,1358-03-01
1939-05-20,1358-04-01
1939-06-19,1358-05-01
1939-07-18,1358-06-01
1939-08-16,1358-07-01
1939-09-15,1358-08-01
1939-10-14,1358-09-01
1939-11-13,1358-10-01
1939-12-12,1358-11-01
1940-01-11,1358-12-01
1940-02-10,1359-01-01
1940-03-11,1359-02-01
1940-04-09,1359-03-01
1940-05-09,1359-04-01
1940-06-08,1359-05-01
1940-07-07,1359-06-01
1940-08-05,1359-07-01
1940-09-04,1359-08-01
1940-10-03,1359-09-01
1940-11-01,1359-10-01
1940-12-01,1359-11-01
1940-12-30,1359-12-01
1941-01-29,1360-01-01
1941-02-28,1360-02-01
1941-03-29,1360-03-01
1941-04-28,1360-04-01
1941-05-28,1360-05-01
1941-06-26,1360-06-01
1941-07-26,1360-07-01
1941-08-24,1360-08-01
1941-09-23,1360-09-01
1941-10-22,1360-10-01
1941-11-20,1360-11-01
1941-12-20,1360-12-01
1942-01-18,1361-01-01
1942-02-17,1361-02-01
1942-03-19,1361-03-01
1942-04-17,1361-04-01
1942-05-17,1361-05-01
1942-06-15,1361-06-01
1942-07-15,1361-07-01
1942-08-14,1361-08-01
1942-09-12,1361-09-01
1942-10-12,1361-10-01
1942-11-10,1361-11-01
1942-12-09,1361-12-01
1943-01-08,1362-01-01
1943-02-06,1362-02-01
1943-03-08,1362-03-01
1943-04-06,1362-04-01
1943-05-06,1362-05-01
1943-06-04,1362-06-01
1943-07-04,1362-07-01
1943-08-03,1362-08-01
1943-09-01,1362-09-01
1943-10-01,1362-10-01
1943-10-30,1362-11-01
1943-11-29,1362-12-01
1943-12-28,1363-01-01
1944-01-27,1363-02-01
1944-02-25,1363-03-01
1944-03-26,1363-04-01
1944-04-24,1363-05-01
1944-05-24,1363-06-01
1944-06-22,1363-07-01
1944-07-22,1363-08-01
1944-08-20,1363-09-01
1944-09-19,1363-10-01
1944-10-19,1363-11-01
1944-11-17,1363-12-01
1944-12-17,1364-01-01
1945-01-16,1364-02-01
1945-02-14,1364-03-01
1945-03-15,1364-04-01
1945-04-14,1364-05-01
1945-05-13,1364-06-01
1945-06-11,1364-07-01
1945-07-11,1364-08-01
1945-08-09,1364-09-01
1945-09-08,1364-10-01
1945-10-08,1364-11-01
1945-11-06,1364-12-01
1945-12-06,1365-01-01
1946-01-05,1365-02-01
1946-02-04,1365-03-01
1946-03-05,1365-04-01
1946-04-03,1365-05-01
1946-05-03,1365-06-01
1946-06-01,1365-07-01
1946-06-30,1365-08-01
1946-07-30,1365-09-01
1946-08-29,1365-10-01
1946-09-27,1365-11-01
1946-10-26,1365-12-01
1946-11-25,1366-01-01
1946-12-25,1366-02-01
1947-01-24,1366-03-01
1947-02-22,1366-04-01
1947-03-24,1366-05-01
1947-04-22,1366-06-01
1947-05-22,1366-07-01
1947-06-20,1366-08-01
1947-07-19,1366-09-01
1947-08-18,1366-10-01
1947-09-16,1366-11-01
1947-10-16,1366-12-01
1947-11-14,1367-01-01
1947-12-14,1367-02-01
1948-01-13,1367-03-01
1948-02-12,1367-04-01
1948-03-12,1367-05-01
1948-04-11,1367-06-01
1948-05-10,1367-07-01
1948-06-09,1367-08-01
1948-07-08,1367-09-01
1948-08-06,1367-10-01
1948-09-05,1367-11-01
1948-10-04,1367-12-01
1948-11-03,1368-01-01
1948-12-02,1368-02-01
1949-01-01,1368-03-01
1949-01-31,1368-04-01
1949-03-01,1368-05-01
1949-03-31,1368-06-01
1949-04-30,1368-07-01
1949-05-29,1368-08-01
1949-06-28,1368-09-01
1949-07-27,1368-10-01
1949-08-25,1368-11-01
1949-09-24,1368-12-01
1949-10-23,1369-01-01
1949-11-22,1369-02-01
1949-12-21,1369-03-01
1950-01-20,1369-04-01
1950-02-18,1369-05-01
1950-03-20,1369-06-01
1950-04-19,1369-07-01
1950-05-18,1369-08-01
1950-06-17,1369-09-01
1950-07-16,1369-10-01
1950-08-15,1369-11-01
1950-09-14,1369-12-01
1950-10-13,1370-01-01
1950-11-12,1370-02-01
1950-12-11,1370-03-01
1951-01-09,1370-04-01
1951-02-08,1370-05-01
1951-03-09,1370-06-01
1951-04-08,1370-07-01
1951-05-07,1370-08-01
1951-06-06,1370-09-01
1951-07-06,1370-10-01
1951-08-04,1370-11-01
1951-09-03,1370-12-01
1951-10-03,1371-01-01
1951-11-01,1371-02-01
1951-12-01,1371-03-01
1951-12-30,1371-04-01
1952-01-28,1371-05-01
1952-02-27,1371-06-01
1952-03-27,1371-07-01
1952-04-26,1371-08-01
1952-05-25,1371-09-01
1952-06-24,1371-10-01
1952-07-23,1371-11-01
1952-08-22,1371-12-01
1952-09-21,1372-01-01
1952-10-21,1372-02-01
1952-11-19,1372-03-01
1952-12-19,1372-04-01
1953-01-17,1372-05-01
1953-02-15,1372-06-01
1953-03-17,1372-07-01
1953-04-15,1372-08-01
1953-05-14,1372-09-01
1953-06-13,1372-10-01
1953-07-12,1372-11-01
1953-08-11,1372-12-01
1953-09-10,1373-01-01
1953-10-10,1373-02-01
1953-11-09,1373-03-01
1953-12-08,1373-04-01
1954-01-06,1373-05-01
1954-02-05,1373-06-01
1954-03-06,1373-07-01
1954-04-05,1373-08-01
1954-05-04,1373-09-01
1954-06-02,1373-10-01
1954-07-02,1373-11-01
1954-07-31,1373-12-01
1954-08-30,1374-01-01
1954-09-29,1374-02-01
1954-10-29,1374-03-01
1954-11-27,1374-04-01
1954-12-27,1374-05-01
1955-01-25,1374-06-01
1955-02-24,1374-07-01
1955-03-25,1374-08-01
1955-04-24,1374-09-01
1955-05-23,1374-10-01
1955-06-21,1374-11-01
1955-07-21,1374-12-01
1955-08-20,1375-01-01
1955-09-18,1375-02-01
1955-10-18,1375-03-01
1955-11-16,1375-04-01
1955-12-16,1375-05-01
1956-01-15,1375-06-01
1956-02-13,1375-07-01
1956-03-14,1375-08-01
1956-04-12,1375-09-01
1956-05-12,1375-10-01
1956-06-10,1375-11-01
1956-07-10,1375-12-01
1956-08-08,1376-01-01
1956-09-07,1376-02-01
1956-10-06,1376-03-01
1956-11-04,1376-04-01
1956-12-04,1376-05-01
1957-01-02,1376-06-01
1957-02-01,1376-07-01
1957-03-03,1376-08-01
1957-04-02,1376-09-01
1957-05-01,1376-10-01
1957-05-31,1376-11-01
1957-06-29,1376-12-01
1957-07-29,1377-01-01
1957-08-27,1377-02-01
1957-09-26,1377-03-01
1957-10-25,1377-04-01
1957-11-23,1377-05-01
1957-12-23,1377-06-01
1958-01-21,1377-07-01
1958-02-20,1377-08-01
1958-03-22,1377-09-01
